title,company,description,onsite_remote,salary,location,criteria,posted_date,link
Right Hand to the Founder/CEO,Oceans,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Business Development and Sales'}, {'Industries': 'Internet Publishing'}]",2023-08-18,https://lk.linkedin.com/jobs/view/right-hand-to-the-founder-ceo-at-oceans-3698260489?refId=aP09hpPqnBLZGQVLjS5FSA%3D%3D&trackingId=yotcIlESl3CCxWeL0RD7Nw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Associate Demand Planner,Oceans,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Internet Publishing'}]",2023-08-18,https://lk.linkedin.com/jobs/view/associate-demand-planner-at-oceans-3698260492?refId=aP09hpPqnBLZGQVLjS5FSA%3D%3D&trackingId=KGeebZI7ZF0YZlIVlU68ow%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Digital Marketing Executive - Sri Lanka,eduCLaaS,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Marketing and Sales'}, {'Industries': 'E-Learning Providers'}]",2023-09-01,https://lk.linkedin.com/jobs/view/digital-marketing-executive-sri-lanka-at-educlaas-3710063297?refId=aP09hpPqnBLZGQVLjS5FSA%3D%3D&trackingId=d5JlwLx5ywrSYUC%2FS0ZAZQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
"Customer Service Representative APAC (Remote, Contract)",INFUSEmedia,Nan,remote,NaN,"Moratuwa, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Contract'}, {'Job function': 'Other'}, {'Industries': 'Technology, Information and Internet'}]",2023-06-07,https://lk.linkedin.com/jobs/view/customer-service-representative-apac-remote-contract-at-infusemedia-3641789172?refId=aP09hpPqnBLZGQVLjS5FSA%3D%3D&trackingId=6%2BLw8Tb%2BN9%2FGgYz5l3ZCHw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
"Customer Service Representative APAC (Remote, Contract)",INFUSEmedia,Nan,remote,NaN,"Kandy District, Central Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Contract'}, {'Job function': 'Other'}, {'Industries': 'Technology, Information and Internet'}]",2023-06-07,https://lk.linkedin.com/jobs/view/customer-service-representative-apac-remote-contract-at-infusemedia-3641783940?refId=aP09hpPqnBLZGQVLjS5FSA%3D%3D&trackingId=S38Lwo2hLr%2BWq2EfSpJX5w%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Talent Acquisition Specialist,Oceans,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Human Resources'}, {'Industries': 'Internet Publishing'}]",2023-08-12,https://lk.linkedin.com/jobs/view/senior-talent-acquisition-specialist-at-oceans-3713868650?refId=aP09hpPqnBLZGQVLjS5FSA%3D%3D&trackingId=e39TTwD8FtFyb1ID%2FaIqAw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
"Customer Service Representative APAC (Remote, Contract)",INFUSEmedia,Nan,remote,NaN,"Mount Lavinia, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Contract'}, {'Job function': 'Other'}, {'Industries': 'Technology, Information and Internet'}]",2023-06-07,https://lk.linkedin.com/jobs/view/customer-service-representative-apac-remote-contract-at-infusemedia-3641784871?refId=aP09hpPqnBLZGQVLjS5FSA%3D%3D&trackingId=BX7XvycHKe1yyqiDoPykVw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Talent Acquisition Specialist,blueAPACHE,Nan,remote,NaN,Sri Lanka,"[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Human Resources'}, {'Industries': 'Technology, Information and Internet'}]",2023-09-13,https://lk.linkedin.com/jobs/view/talent-acquisition-specialist-at-blueapache-3719411317?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=qhEuvRrQ5l1lVfKaTVeb8g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Talent Acquisition - Intern,Tutopiya,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Internship'}, {'Employment type': 'Full-time'}, {'Job function': 'Human Resources'}, {'Industries': 'Primary and Secondary Education'}]",2023-09-07,https://lk.linkedin.com/jobs/view/talent-acquisition-intern-at-tutopiya-3712333489?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=o6prSx1jdN0P9yr5LTMhEA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Remote Virtual Assistant,Speckle,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Administrative'}, {'Industries': 'Technology, Information and Internet'}]",2023-08-16,https://lk.linkedin.com/jobs/view/remote-virtual-assistant-at-speckle-3696160293?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=LI1nrbBcfM3pqQjGq0WQAw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Regional Human Resources Manager,Mad Monkey,Nan,remote,NaN,"Weligama, Southern Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Human Resources'}, {'Industries': 'Hospitality'}]",2023-09-05,https://lk.linkedin.com/jobs/view/regional-human-resources-manager-at-mad-monkey-3713118414?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=pdeMM08adbRyR6XIzgOhww%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Graphic Designer,Lumikha Teams,Nan,remote,NaN,Sri Lanka,"[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Design, Art/Creative, and Information Technology'}, {'Industries': 'Online Audio and Video Media, Telecommunications, and Entertainment Providers'}]",2023-09-05,https://lk.linkedin.com/jobs/view/graphic-designer-at-lumikha-teams-3709978115?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=oA2gS2aGKBoWdwy6O5axHA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Regional Finance Head,Mad Monkey,Nan,remote,NaN,"Weligama, Southern Province, Sri Lanka","[{'Seniority level': 'Director'}, {'Employment type': 'Full-time'}, {'Job function': 'Finance and Sales'}, {'Industries': 'Hospitality'}]",2023-09-05,https://lk.linkedin.com/jobs/view/regional-finance-head-at-mad-monkey-3713120059?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=yC4ls8S0wYdV45pfBTA%2BTw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Customer Experience - Intern,Tutopiya,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Internship'}, {'Employment type': 'Full-time'}, {'Job function': 'Other'}, {'Industries': 'Primary and Secondary Education'}]",2023-09-12,https://lk.linkedin.com/jobs/view/customer-experience-intern-at-tutopiya-3714634184?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=UfBs64A0mlYMvR4NHVkdUw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Video Superstar,Lumikha Teams,Nan,remote,"PHP144,000.00
            -
            PHP240,000.00",Sri Lanka,"[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Part-time'}, {'Job function': 'Other'}, {'Industries': 'Online Audio and Video Media, Telecommunications, and Entertainment Providers'}]",2023-08-14,https://lk.linkedin.com/jobs/view/video-superstar-at-lumikha-teams-3690537895?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=jDtd2djJ7w3a3%2BBf9P7eMQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Behavioral Health Coach (Sri Lanka),Intellect,Nan,remote,NaN,Sri Lanka,"[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Health Care Provider'}, {'Industries': 'Technology, Information and Internet'}]",2023-09-13,https://lk.linkedin.com/jobs/view/behavioral-health-coach-sri-lanka-at-intellect-3719410400?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=%2BzTjjHP63hzTva5UIA7q4A%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Video Superstar,Lumikha Teams,Nan,remote,"PHP144,000.00
            -
            PHP240,000.00",Sri Lanka,"[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Other'}, {'Industries': 'Online Audio and Video Media, Telecommunications, and Entertainment Providers'}]",2023-07-31,https://lk.linkedin.com/jobs/view/video-superstar-at-lumikha-teams-3678938029?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=P6VJJP7BgSq3ykd1%2BAVYjw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
E-Commerce Manager,Oceans,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka",[],2023-08-18,https://lk.linkedin.com/jobs/view/e-commerce-manager-at-oceans-3697932171?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=RL7pTQXw7Yg4skzjVJoI5Q%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Developer,ICAS Technology (S) Pte Ltd,Nan,remote,NaN,Sri Lanka,"[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Software Development'}]",2023-06-15,https://lk.linkedin.com/jobs/view/software-developer-at-icas-technology-s-pte-ltd-3658777422?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=ao6v6QUKz0%2FseiVa9tFmKA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Financial Controller,Oceans,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka",[],2023-06-22,https://lk.linkedin.com/jobs/view/financial-controller-at-oceans-3667204852?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=aYFTmCYAq9kVcml%2BP31r9A%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Accountant,Oceans,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Accounting/Auditing and Finance'}, {'Industries': 'Internet Publishing'}]",2023-06-22,https://lk.linkedin.com/jobs/view/accountant-at-oceans-3667203858?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=Qwp5RCzziH1Q76EeYLJ%2FNA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Interpreter (Burmese and English Speaking),Future Group Translation Services,Nan,remote,"$7,800.00
            -
            $11,988.00",Sri Lanka,"[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Staffing and Recruiting, Consumer Services, and Business Consulting and Services'}]",2023-05-16,https://lk.linkedin.com/jobs/view/interpreter-burmese-and-english-speaking-at-future-group-translation-services-3630644112?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=P3sYNdoRrYWhqUQjbqr8wA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Graphic Designer,Oceans,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Design, Art/Creative, and Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-07-24,https://lk.linkedin.com/jobs/view/graphic-designer-at-oceans-3698138522?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=GAIOk7FJFq6lfOMugMHj0g%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Video Superstar,Lumikha Teams,Nan,remote,"PHP144,000.00
            -
            PHP240,000.00",Sri Lanka,"[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Other'}, {'Industries': 'Online Audio and Video Media, Telecommunications, and Entertainment Providers'}]",2023-08-14,https://lk.linkedin.com/jobs/view/video-superstar-at-lumikha-teams-3690539641?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=GCseaQeBkR3BTme5PnNY2g%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer,Snaphyre,Nan,remote,NaN,Sri Lanka,"[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-05,https://lk.linkedin.com/jobs/view/ui-ux-designer-at-snaphyre-3597009166?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=fl6NsAbNrmLtALVMhsGcLQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Engineer,ADLIB Recruitment | B Corp™,Nan,remote,NaN,"Devon, Central Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Staffing and Recruiting'}]",2023-08-07,https://lk.linkedin.com/jobs/view/software-engineer-at-adlib-recruitment-b-corp%E2%84%A2-3683673915?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=Kxu9xZhPeGMWRax8OOqUyA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Operations Analyst,Oceans,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Business Development and Sales'}, {'Industries': 'Internet Publishing'}]",2023-06-22,https://lk.linkedin.com/jobs/view/business-operations-analyst-at-oceans-3667209076?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=jUZd%2BPOKALCmWLQPfN%2BIGQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Project Designer - Sri Lanka,Appetiser Apps,Nan,remote,NaN,Sri Lanka,"[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-22,https://lk.linkedin.com/jobs/view/project-designer-sri-lanka-at-appetiser-apps-3642672166?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=WzhpnMs2gQ%2BD89LsnZ0VjQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Marketing Project Manager,Oceans,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka",[],2023-08-21,https://lk.linkedin.com/jobs/view/marketing-project-manager-at-oceans-3700542925?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=ZL0bR1ETUpmYloAVbD7YxQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Development Manager,Oceans,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka",[],2023-06-22,https://lk.linkedin.com/jobs/view/business-development-manager-at-oceans-3667210049?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=qRsSTcRejIGFxpkCkX%2BqHA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Intern - Academic Operations,Tutopiya,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Internship'}, {'Employment type': 'Full-time'}, {'Job function': 'Education and Training'}, {'Industries': 'Primary and Secondary Education'}]",2023-09-13,https://lk.linkedin.com/jobs/view/intern-academic-operations-at-tutopiya-3715669050?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=1gvBGSauCqvkIxtdBXnPxg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Right Hand to the Founder/CEO,Oceans,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Business Development and Sales'}, {'Industries': 'Internet Publishing'}]",2023-08-18,https://lk.linkedin.com/jobs/view/right-hand-to-the-founder-ceo-at-oceans-3698260489?refId=MsTColF4ZWs9txVUZMIPFQ%3D%3D&trackingId=aCORK%2B52PLTawvO0hcnBhw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Operations Analyst,Oceans,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Business Development and Sales'}, {'Industries': 'Internet Publishing'}]",2023-06-22,https://lk.linkedin.com/jobs/view/business-operations-analyst-at-oceans-3667209076?refId=V20cWvaHjrTq9NFapzvM6A%3D%3D&trackingId=cn6XfIgLP4lFx0Hh54OG9g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Applied Cryptography Research - PhD Intern (Potential for Official Job Opportunity),Kyber Network,Nan,remote,NaN,Sri Lanka,"[{'Seniority level': 'Internship'}, {'Employment type': 'Part-time'}, {'Job function': 'Research, Information Technology, and Analyst'}, {'Industries': 'Software Development, Technology, Information and Internet, and Financial Services'}]",2023-09-05,https://lk.linkedin.com/jobs/view/applied-cryptography-research-phd-intern-potential-for-official-job-opportunity-at-kyber-network-3705357807?refId=V20cWvaHjrTq9NFapzvM6A%3D%3D&trackingId=5SIBkCmKUWAcIavNl9sjTw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Frontend Developer,Clevertech,Nan,remote,NaN,Sri Lanka,"[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering, Information Technology, and Consulting'}, {'Industries': 'IT Services and IT Consulting'}]",2023-09-11,https://lk.linkedin.com/jobs/view/senior-frontend-developer-at-clevertech-3717737787?refId=V20cWvaHjrTq9NFapzvM6A%3D%3D&trackingId=Cxamtb3VhEYlfub%2BQLnBXw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Customer Support Associate (Vietnamese- English Speaking),Strikingly,Nan,remote,NaN,Sri Lanka,"[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Other'}, {'Industries': 'IT Services and IT Consulting, Information Services, and Software Development'}]",2023-08-01,https://lk.linkedin.com/jobs/view/customer-support-associate-vietnamese-english-speaking-at-strikingly-3679595314?refId=V20cWvaHjrTq9NFapzvM6A%3D%3D&trackingId=M12Py%2BGJtTmM44DD3EPV4Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
US Healthcare Sourcer - Remote,Vivo HealthStaff Inc.,Nan,remote,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Human Resources'}, {'Industries': 'Hospitals and Health Care'}]",2023-07-11,https://lk.linkedin.com/jobs/view/us-healthcare-sourcer-remote-at-vivo-healthstaff-inc-3660112932?refId=V20cWvaHjrTq9NFapzvM6A%3D%3D&trackingId=tm6lFtDxPtwAuFCLKdMkcA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
"Customer Service Representative APAC (Remote, Contract)",INFUSEmedia,Nan,remote,NaN,"Kandy District, Central Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Contract'}, {'Job function': 'Other'}, {'Industries': 'Technology, Information and Internet'}]",2023-06-07,https://lk.linkedin.com/jobs/view/customer-service-representative-apac-remote-contract-at-infusemedia-3641783940?refId=V20cWvaHjrTq9NFapzvM6A%3D%3D&trackingId=DWOURoc7XMbP8AGwHNCzFg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Photo Evidence Data Controller (Remote),Penguin Recruitment,Nan,remote,NaN,"Devon, Central Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Staffing and Recruiting'}]",2023-09-02,https://lk.linkedin.com/jobs/view/photo-evidence-data-controller-remote-at-penguin-recruitment-3707956965?refId=V20cWvaHjrTq9NFapzvM6A%3D%3D&trackingId=Vct3Qv%2F5LljEQwaLlG%2B68Q%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Ruby on Rails Developer,Clevertech,Nan,remote,NaN,"Colombo District, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-09-11,https://lk.linkedin.com/jobs/view/ruby-on-rails-developer-at-clevertech-3718384536?refId=V20cWvaHjrTq9NFapzvM6A%3D%3D&trackingId=VNOdKWqIXBoeK7SDjVPSzw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Developer,ICAS Technology (S) Pte Ltd,Nan,remote,NaN,Sri Lanka,"[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Software Development'}]",2023-06-15,https://lk.linkedin.com/jobs/view/software-developer-at-icas-technology-s-pte-ltd-3658777422?refId=V20cWvaHjrTq9NFapzvM6A%3D%3D&trackingId=ngOGA7IL%2FiSaKLcBTTPW6w%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
